id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,width,height,save_path,class,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,resized_size,new_path,rel_path
149987641,d3fd15c1-5297-40f9-bb63-6a28eb81de69,2021-08-01 18:45:00+03:00,2021-08-01,2021-08-01 15:45:00 UTC,Athens,6529079,alex_sosn,Alex Sosnovshchenko,2023-03-01 16:48:50 UTC,2024-03-25 03:04:18 UTC,research,CC0,https://www.inaturalist.org/observations/149987641,https://inaturalist-open-data.s3.amazonaws.com/photos/258542673/medium.jpg,,,,4,0,False,,Domestic Cat,Felis catus,Domestic Cat,Mammalia,118552,2048,1536,U:/Research Project/Dataset/INAT-custom/cat/149987641.jpg,cat,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\cat\149987641.jpg,/cat/149987641.jpg
201956009,cfb8374c-fb45-49eb-abba-2d2a46761703,2024/01/17 3:21 PM,2024-01-17,2024-01-17 11:21:00 UTC,Indian/Mahe,5510986,mcmorgan06,Matthew Morgan,2024-03-10 19:28:36 UTC,2024-03-11 02:51:25 UTC,research,CC0,https://www.inaturalist.org/observations/201956009,https://inaturalist-open-data.s3.amazonaws.com/photos/356583069/medium.jpg,,,,2,0,False,,Domestic Cat,Felis catus,Domestic Cat,Mammalia,118552,2048,1365,U:/Research Project/Dataset/INAT-custom/cat/201956009.jpg,cat,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\cat\201956009.jpg,/cat/201956009.jpg
281490487,2e2efa7b-5212-4fa9-990c-fb33be5d4b10,2025-05-16 09:42:29-04:00,2025-05-16,2025-05-16 13:42:29 UTC,Eastern Time (US & Canada),2772975,barbhauckmah,Barb Hauck-Mah,2025-05-16 13:43:30 UTC,2025-07-17 10:46:14 UTC,research,CC0,https://www.inaturalist.org/observations/281490487,https://inaturalist-open-data.s3.amazonaws.com/photos/505667357/medium.jpg,,,,3,0,False,3.0,Feral Pigeon,Columba livia domestica,Feral Pigeon,Aves,122767,1536,2048,U:/Research Project/Dataset/INAT-custom/bird/281490487.jpg,bird,"Catharine St, Philadelphia, PA, US",39.9396033333,-75.1567528333,21.0,,,,21.0,,open,False,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\bird\281490487.jpg,/bird/281490487.jpg
117173202,a3af98ee-f9ed-4b23-9eed-3b3fd626e239,2022/05/14 10:28 PM,2022-05-14,2022-05-14 16:58:00 UTC,New Delhi,5043,haneesh,Haneesh K M,2022-05-15 17:46:57 UTC,2024-03-27 03:56:11 UTC,research,CC0,https://www.inaturalist.org/observations/117173202,https://inaturalist-open-data.s3.amazonaws.com/photos/197847768/medium.jpeg,,,,4,0,False,,Domestic Cat,Felis catus,Domestic Cat,Mammalia,118552,2048,1954,U:/Research Project/Dataset/INAT-custom/cat/117173202.jpeg,cat,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\cat\117173202.jpg,/cat/117173202.jpg
83351488,d7d081b1-53a4-44c4-b639-c560591a6abe,2021/06/15 7:51 PM PDT,2021-06-15,2021-06-16 02:51:00 UTC,Pacific Time (US & Canada),939093,danieldas,Daniel Das,2021-06-17 04:19:46 UTC,2024-02-08 18:42:08 UTC,research,CC0,https://www.inaturalist.org/observations/83351488,https://inaturalist-open-data.s3.amazonaws.com/photos/136885045/medium.jpeg,,,"A stray cat that followed us for a while, until it was scared off by a passerby's dog.",3,0,False,,Domestic Cat,Felis catus,Domestic Cat,Mammalia,118552,1536,2048,U:/Research Project/Dataset/INAT-custom/cat/83351488.jpeg,cat,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\cat\83351488.jpg,/cat/83351488.jpg
270442128,ed4b4703-8c71-4811-a3e8-12eda092f25d,2025-04-14 10:33:11,2025-04-14,2025-04-14 15:33:11 UTC,Bogota,8150756,ac-sib,,2025-04-14 15:39:08 UTC,2025-06-11 04:18:33 UTC,research,CC0,https://www.inaturalist.org/observations/270442128,https://inaturalist-open-data.s3.amazonaws.com/photos/486369250/medium.jpeg,,,,1,0,False,2.0,Golden Silk Spider,Trichonephila clavipes,Golden Silk Spider,Arachnida,904336,1536,2048,U:/Research Project/Dataset/INAT-custom/spider/270442128.jpeg,spider,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\spider\270442128.jpg,/spider/270442128.jpg
73428549,e08f91de-fc9b-4df8-b79a-b6520fca5ef2,2021-04-09 1:14:27 PM PDT,2021-04-09,2021-04-09 20:14:27 UTC,Pacific Time (US & Canada),4123235,mlroush,Mary Lynn Roush,2021-04-09 21:33:03 UTC,2023-05-24 02:56:54 UTC,research,CC0,https://www.inaturalist.org/observations/73428549,https://inaturalist-open-data.s3.amazonaws.com/photos/119875598/medium.jpeg,,,,1,0,False,2.0,Isabella Tiger Moth,Pyrrharctia isabella,Isabella Tiger Moth,Insecta,59675,1536,2048,U:/Research Project/Dataset/INAT-custom/moth/73428549.jpeg,moth,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\moth\73428549.jpg,/moth/73428549.jpg
216125816,29761366-532a-475f-985d-a7743858a802,2024/05/11 2:53 PM,2024-05-11,2024-05-11 06:53:00 UTC,Kuala Lumpur,44170,gancw1,Cheongweei Gan,2024-05-16 15:34:44 UTC,2024-05-16 15:36:24 UTC,research,CC0,https://www.inaturalist.org/observations/216125816,https://inaturalist-open-data.s3.amazonaws.com/photos/382192908/medium.jpg,,,,1,0,False,,Long-tailed Macaque,Macaca fascicularis,Long-tailed Macaque,Mammalia,43459,1536,2048,U:/Research Project/Dataset/INAT-custom/monkey/216125816.jpg,monkey,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\monkey\216125816.jpg,/monkey/216125816.jpg
126793195,988f3ef6-2daf-48b4-8a3b-c4cd7fa0686a,2022-07-18 10:22:38,2022-07-18,2022-07-18 08:22:38 UTC,Rome,5473907,teresa649,Teresa Prandi,2022-07-18 11:09:30 UTC,2023-09-17 13:30:56 UTC,research,CC0,https://www.inaturalist.org/observations/126793195,https://inaturalist-open-data.s3.amazonaws.com/photos/215175405/medium.jpeg,,,,1,0,False,2.0,Radiated Wolf Spider,Hogna radiata,Radiated Wolf Spider,Arachnida,326871,2048,1536,U:/Research Project/Dataset/INAT-custom/spider/126793195.jpeg,spider,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\spider\126793195.jpg,/spider/126793195.jpg
169119711,6363cd57-3890-4aaa-a536-2c661b52cf8c,2023-06-23 22:30:15-05:00,2023-06-23,2023-06-24 03:30:15 UTC,Central Time (US & Canada),5635180,mhoefs68,Marj H.,2023-06-24 05:02:22 UTC,2024-09-08 04:46:10 UTC,research,CC0,https://www.inaturalist.org/observations/169119711,https://inaturalist-open-data.s3.amazonaws.com/photos/293175592/medium.jpg,,,,2,0,False,3.0,Isabella Tiger Moth,Pyrrharctia isabella,Isabella Tiger Moth,Insecta,59675,1536,2048,U:/Research Project/Dataset/INAT-custom/moth/169119711.jpg,moth,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\moth\169119711.jpg,/moth/169119711.jpg
