id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,width,height,save_path,class,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,resized_size,new_path,rel_path
212761573,ee0bad59-a035-4346-9e26-f1211d9d4aea,2024-05-01 18:37:50-05:00,2024-05-01,2024-05-01 23:37:50 UTC,Central Time (US & Canada),4372708,niyan_shehan,Niyan Shehan,2024-05-02 00:18:57 UTC,2025-01-29 18:00:13 UTC,research,CC0,https://www.inaturalist.org/observations/212761573,https://inaturalist-open-data.s3.amazonaws.com/photos/375989000/medium.jpg,,,,4,0,False,3.0,Bluegill,Lepomis macrochirus,Bluegill,Actinopterygii,49591,1536,2048,U:/Research Project/Dataset/INAT-custom/fish/212761573.jpg,fish,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\fish\212761573.jpg,/fish/212761573.jpg
80321168,7d1313d3-5a07-4fb1-b412-c5b6f47588af,2021-05-25 22:30:58,2021-05-25,2021-05-26 02:30:58 UTC,Eastern Time (US & Canada),1433340,ceeec,Christine Stone,2021-05-26 03:28:21 UTC,2022-01-25 11:46:08 UTC,research,CC0,https://www.inaturalist.org/observations/80321168,https://inaturalist-open-data.s3.amazonaws.com/photos/131638840/medium.jpeg,,,,4,0,False,2.0,American Bullfrog,Lithobates catesbeianus,American Bullfrog,Amphibia,65979,2048,1536,U:/Research Project/Dataset/INAT-custom/frog/80321168.jpeg,frog,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\frog\80321168.jpg,/frog/80321168.jpg
261356786,312f116d-9796-4a22-b664-fd2872192b23,2024-12-12 16:15:12,2024-12-12,2024-12-12 14:15:12 UTC,Europe/Uzhgorod,7798560,ametasoma,Victoria Zorko,2025-02-11 15:41:40 UTC,2025-02-12 08:25:43 UTC,research,CC0,https://www.inaturalist.org/observations/261356786,https://inaturalist-open-data.s3.amazonaws.com/photos/469524834/medium.jpeg,,,,3,0,False,2.0,Домашняя Кошка,Felis catus,Domestic Cat,Mammalia,118552,1536,2048,U:/Research Project/Dataset/INAT-custom/cat/261356786.jpeg,cat,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\cat\261356786.jpg,/cat/261356786.jpg
235904220,9154dc89-6322-47d5-9edb-906efbbfb6a3,2024/08/14 6:56 PM,2024-08-14,2024-08-15 01:56:00 UTC,Pacific Time (US & Canada),1309897,sedgequeen,Barbara L. Wilson,2024-08-15 13:48:28 UTC,2024-08-17 19:39:19 UTC,research,CC0,https://www.inaturalist.org/observations/235904220,https://inaturalist-open-data.s3.amazonaws.com/photos/419605782/medium.jpeg,,"Fort Worden SP, Port Townsend, Marine Science Center",,1,0,False,,Feral Pigeon,Columba livia domestica,Feral Pigeon,Aves,122767,2048,1536,U:/Research Project/Dataset/INAT-custom/bird/235904220.jpeg,bird,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\bird\235904220.jpg,/bird/235904220.jpg
222489606,8d8b9e63-4a97-4899-a684-a1905d5e6c73,2024-06-13 12:34:56-05:00,2024-06-13,2024-06-13 17:34:56 UTC,Central Time (US & Canada),4372708,niyan_shehan,Niyan Shehan,2024-06-13 18:12:43 UTC,2025-01-29 18:05:36 UTC,research,CC0,https://www.inaturalist.org/observations/222489606,https://inaturalist-open-data.s3.amazonaws.com/photos/394120907/medium.jpg,,,,3,0,False,3.0,Bluegill,Lepomis macrochirus,Bluegill,Actinopterygii,49591,1536,2048,U:/Research Project/Dataset/INAT-custom/fish/222489606.jpg,fish,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\fish\222489606.jpg,/fish/222489606.jpg
198485886,ad69e1a1-47d0-472a-8f2a-9d9810341c59,2024/02/03 8:25 AM,2024-02-03,2024-02-03 05:25:00 UTC,Nairobi,2852980,erwinsieben,Erwin Sieben,2024-02-05 13:48:24 UTC,2024-02-13 11:08:48 UTC,research,CC0,https://www.inaturalist.org/observations/198485886,https://inaturalist-open-data.s3.amazonaws.com/photos/349851276/medium.jpeg,,,,1,0,False,,Blue Monkey,Cercopithecus mitis,Blue Monkey,Mammalia,43486,1278,1537,U:/Research Project/Dataset/INAT-custom/monkey/198485886.jpeg,monkey,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\monkey\198485886.jpg,/monkey/198485886.jpg
64472708,3a771a10-bb98-4d7c-b427-729178337cee,2020-11-08 4:02:37 PM EST,2020-11-08,2020-11-08 21:02:37 UTC,Eastern Time (US & Canada),3221839,hrachski,Hailey Majewski,2020-11-08 22:09:36 UTC,2024-12-03 04:25:39 UTC,research,CC0,https://www.inaturalist.org/observations/64472708,https://inaturalist-open-data.s3.amazonaws.com/photos/103658915/medium.jpeg,,,,2,0,False,2.0,Isabella Tiger Moth,Pyrrharctia isabella,Isabella Tiger Moth,Insecta,59675,2048,1536,U:/Research Project/Dataset/INAT-custom/moth/64472708.jpeg,moth,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\moth\64472708.jpg,/moth/64472708.jpg
237405758,74b7b54f-2ebe-4d5d-a9aa-47eef4e14e93,2024-08-22 20:42:25-07:00,2024-08-22,2024-08-23 03:42:25 UTC,America/Vancouver,2600261,thyg,Thompson Hyggen,2024-08-23 03:43:01 UTC,2024-08-24 21:02:39 UTC,research,CC0,https://www.inaturalist.org/observations/237405758,https://inaturalist-open-data.s3.amazonaws.com/photos/422787336/medium.jpeg,,,,1,0,False,3.0,Pacific Foldingdoor Spider,Antrodiaetus pacificus,Pacific Foldingdoor Spider,Arachnida,199276,1536,2048,U:/Research Project/Dataset/INAT-custom/spider/237405758.jpeg,spider,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\spider\237405758.jpg,/spider/237405758.jpg
95808268,3705ff4c-f8b8-40bc-b85e-41daa1dc5301,2021/05/03 3:38 PM PDT,2021-05-03,2021-05-03 22:38:00 UTC,Pacific Time (US & Canada),1309897,sedgequeen,Barbara L. Wilson,2021-09-22 23:40:19 UTC,2023-01-17 17:30:08 UTC,research,CC0,https://www.inaturalist.org/observations/95808268,https://inaturalist-open-data.s3.amazonaws.com/photos/159095097/medium.jpeg,,"Scottsburg County Park, Scottsburg Park",Scottsburg County Park.  ,2,0,False,,Isabella Tiger Moth,Pyrrharctia isabella,Isabella Tiger Moth,Insecta,59675,2048,1536,U:/Research Project/Dataset/INAT-custom/moth/95808268.jpeg,moth,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\moth\95808268.jpg,/moth/95808268.jpg
234142254,19d1ba29-1e3a-4ae2-a4c2-8b1dda11d0f7,2024-08-05 17:02:43-04:00,2024-08-05,2024-08-05 21:02:43 UTC,Eastern Time (US & Canada),12842,docdez,Dezene Huber,2024-08-06 13:50:10 UTC,2024-08-08 19:20:58 UTC,research,CC0,https://www.inaturalist.org/observations/234142254,https://inaturalist-open-data.s3.amazonaws.com/photos/416200248/medium.jpeg,,,,3,0,False,3.0,Feral Pigeon,Columba livia domestica,Feral Pigeon,Aves,122767,1536,2048,U:/Research Project/Dataset/INAT-custom/bird/234142254.jpeg,bird,,,,,,,,,,,,,,1024x1024,U:\Research Project\Dataset\INAT-custom\resized\1024x1024\bird\234142254.jpg,/bird/234142254.jpg
